,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-02-15,17.96050262451172,49.66999816894531,922.4299926757812,18.079999923706055,49.66999816894531,922.4299926757812,18.1299991607666,49.90999984741211,923.0,17.719999313354492,48.93000030517578,893.3800048828125,17.799999237060547,49.36000061035156,900.0,65883300,15238500,19095400
2022-02-16,17.89096450805664,50.43000030517578,923.3900146484375,18.010000228881836,50.43000030517578,923.3900146484375,18.209999084472656,50.56999969482422,926.4299926757812,17.739999771118164,49.2599983215332,901.2100219726562,17.889999389648438,49.43000030517578,914.0499877929688,57442100,13865500,17098100
2022-02-17,17.424072265625,48.81999969482422,876.3499755859375,17.540000915527344,48.81999969482422,876.3499755859375,17.940000534057617,49.849998474121094,918.5,17.5,48.65999984741211,874.0999755859375,17.860000610351562,49.810001373291016,913.260009765625,55368600,13482800,18392800
2022-02-18,17.920766830444336,48.599998474121094,856.97998046875,18.040000915527344,48.599998474121094,856.97998046875,18.479999542236328,49.209999084472656,886.8699951171875,17.56999969482422,47.91999816894531,837.6099853515625,17.600000381469727,48.91999816894531,886.0,106404200,16615900,22833900
2022-02-22,17.175724029541016,46.77000045776367,821.530029296875,17.290000915527344,46.77000045776367,821.530029296875,17.760000228881836,47.939998626708984,856.72998046875,17.06999969482422,46.15999984741211,801.0999755859375,17.670000076293945,47.779998779296875,834.1300048828125,98550700,19620300,27762700
2022-02-23,16.83797264099121,46.380001068115234,764.0399780273438,16.950000762939453,46.380001068115234,764.0399780273438,17.729999542236328,48.29999923706055,835.2999877929688,16.8799991607666,46.2599983215332,760.5599975585938,17.5,47.2599983215332,830.4299926757812,79855400,13667700,31752300
2022-02-24,17.03664779663086,46.349998474121094,800.77001953125,17.149999618530273,46.349998474121094,800.77001953125,17.190000534057617,46.40999984741211,802.47998046875,15.960000038146973,43.90999984741211,700.0,15.989999771118164,44.150001525878906,700.3900146484375,110443900,21003700,45107400
2022-02-25,17.712154388427734,47.43000030517578,809.8699951171875,17.829999923706055,47.43000030517578,809.8699951171875,17.899999618530273,47.47999954223633,819.5,17.1200008392334,45.849998474121094,782.4000244140625,17.25,46.349998474121094,809.22998046875,78888000,13465100,25355900
2022-02-28,17.443939208984375,46.720001220703125,870.4299926757812,17.559999465942383,46.720001220703125,870.4299926757812,17.68000030517578,47.119998931884766,876.8599853515625,17.209999084472656,45.84000015258789,814.7100219726562,17.34000015258789,46.2400016784668,815.010009765625,82367800,18226700,33002300
2022-03-01,16.589624404907227,44.52000045776367,864.3699951171875,16.700000762939453,44.52000045776367,864.3699951171875,17.40999984741211,46.15999984741211,889.8800048828125,16.450000762939453,44.15999984741211,853.780029296875,17.40999984741211,46.02000045776367,869.6799926757812,94819500,21534200,24922300
